Fecha;Peso;Grasa %;Musculo %;BMI;Grasa visceral;Metabolismo;Agua;Entrenamiento de fuerza
28/06/2023;78.9;24.6;56.7;26,7;12.0;1692;53.7;
06/07/2023;77.8;24.6;55.8;26,3;12.0;1662;53.5;
09/07/2023;77.7;24.2;56.1;26,3;11.5;1672;53,8;
14/07/2023;77.3;23.9;56.1;26,1;11.5;1670;54,0;
16/07/2023;77.5;24.1;56.0;26,2;11.5;1669;53,9;
17/07/2023;77.9;24.0;56.5;26,3;11.5;1684;54,0;
21/07/2023;77.1;24.2;55.5;26,1;12.0;1653;53,7;
22/07/2023;76.7;24.0;55.3;25,9;11.5;1647;53,8;
23/07/2023;76.5;23.8;55.4;25,9;11.5;1649;53,9;
24/07/2023;76.8;23.9;55.6;26,0;11.5;1655;53,9;
25/07/2023;76.9;24.2;55.4;26,0;12.0;1649;537;
26/07/2023;76.8;23.8;55.7;26,0;11.5;1657;53,9;
27/07/2023;76.8;24.0;55.4;26,0;11.5;1650;53,8;
28/07/2023;76.8;23.8;55.7;26,0;11.5;1657;53,9;
29/07/2023;76.7;24.0;55.3;25,9;11.5;1647;53,7;
30/07/2023;76.1;23.7;55.2;25,7;11.5;1642;53,9;
31/07/2023;76.4;23.4;55.8;25,8;11.0;1660;54,3;
01/08/2023;76.3;23.5;55.5;25,8;11.0;1652;54,1;
02/08/2023;76.0;23.4;55.4;25,7;11.0;1648;54,2;
03/08/2023;74.9;22.8;55.0;25,3;10.5;1634;54,4;
04/08/2023;73.6;22.1;54.5;24,9;10.0;1616;54,7;
05/08/2023;72.7;21.4;54.3;24,6;9.5;1611;55,1;
06/08/2023;74.3;22.3;54.9;25,1;10.0;1632;54,7;
07/08/2023;74.1;21.5;55.6;25,0;9.5;1648;55,3;
11/08/2023;75.2;23.4;54.6;25,4;11.0;1623;54,0;
12/08/2023;74.8;22.9;54.8;25,3;10.5;1628;54,3;
13/08/2023;75.0;23.2;54.6;25,4;11.0;1624;54,1;
16/08/2023;75.9;22.7;56.0;25,7;10.5;1665;54,7;
18/08/2023;75.1;22.8;55.2;25,4;10.5;1639;54,4;
19/08/2023;74.8;22.6;55.1;25,3;10.5;1637;54,5;
20/08/2023;75.2;22.8;55.3;25,4;105;1643;54,5;
21/08/2023;75.2;23.2;54.8;25,4;11.0;1629;54,1;
22/08/2023;75.5;23.2;55.2;25,5;11.0;1640;54,2;
23/08/2023;75.8;23.3;55.3;25,6;11.0;1645;54,2;
25/08/2023;75.3;22.7;55.2;25,4;10.8;1640;54,4;
26/08/2023;74.6;22.8;54.7;25,2;10.5;1625;54,3;
27/08/2023;74.8;22.7;54.9;25,3;10.5;1633;54,4;
28/08/2023;74.9;22.8;54.9;25,3;10.5;1632;54,4;
29/08/2023;74.8;23.1;54.5;25,3;11.0;1620;54,1;
30/08/2023;74.8;23.1;54.5;25,3;11.0;1620;54,1;
31/08/2023;74.9;23.0;54.8;25,3;11.0;1627;54,2;
01/09/2023;74.5;22.8;54.6;25,2;10.5;1623;54,3;
02/09/2023;74.3;22.8;54.4;25,1;10.5;1617;54,3;
03/09/2023;74.5;22.4;55.0;25,2;10.0;1634;54,6;
07/09/2023;73.7;22.6;54.0;24,9;10.5;1605;54,3;
08/09/2023;73.8;22.3;54.6;24,9;10.0;1619;54,7;
09/09/2023;73.7;;;;;;;
10/09/2023;74.4;22.3;55.0;25,1;10.0;1634;54,7;
11/09/2023;74.2;21.9;55.2;25,1;9.8;1638;55,0;
13/09/2023;74.1;22.5;54.5;25,0;10.5;1618;54,4;
15/09/2023;73.7;22.2;54.4;24,9;10.0;1616;54,6;
16/09/2023;73.3;22.2;54.1;24,8;10.0;1606;54,6;
17/09/2023;73.4;22.0;54.4;24,8;10.0;1613;54,7;
18/09/2023;73.5;22.4;54.0;24,8;10.5;1603;54,4;
19/09/2023;73.5;22.3;54.1;24,8;10.5;1607;54,5;
20/09/2023;73.9;22.2;54.7;25,0;10.0;1624;54,7;
21/09/2023;73.3;22.2;54.1;24,8;10.0;1606;54,6;
22/09/2023;73.0;21.7;54.3;24,7;9.5;1611;54,9;
23/09/2023;72.5;21.3;54.3;24,5;9.5;1609;55,2;
24/09/2023;72.7;21.8;53.9;24,6;10.0;1598;54,7;
25/09/2023;73.5;22.0;54.5;24,8;10.0;1618;54,8;
26/09/2023;73.2;21.9;54.3;24,7;10.0;1612;54,8;
27/09/2023;73.1;21.7;54.4;24,6;9.5;1614;54,9;
28/09/2023;72.7;21.7;54.0;24,6;10.0;1601;54,8;
29/09/2023;73.4;21.7;54.7;24,8;9.5;1620;55,0;
30/09/2023;74.3;22.5;54.7;25,1;10.5;1621;54,5;
01/10/2023;73.7;21.6;55.1;24,9;9.5;1630;55,1;
02/10/2023;73.8;22.1;54.6;24,9;10.0;1619;54,7;
03/10/2023;74.0;22.1;54.9;25,0;10.0;1625;54,8;
04/10/2023;72.9;22.0;53.8;24,6;10.0;1594;54,6;
05/10/2023;72.9;22.0;53.9;24,6;10.0;1595;54,6;
06/10/2023;73.2;22.3;53.9;24,7;10.5;1596;54,5;
07/10/2023;72.9;22.2;53.6;24,6;10.5;1589;54,5;
08/10/2023;74.2;22.4;54.7;25,1;10.5;1622;54,6;
09/10/2023;74.1;22.4;54.6;25,0;10.5;1619;54,6;
10/10/2023;73.8;22.1;54.7;24,9;10.3;1620;54,8;
11/10/2023;73.1;21.2;54.6;24,1;9.5;1614;54,9;1
12/10/2023;73.0;21.2;54.5;24,1;9.5;1611;54,9;
13/10/2023;73.4;21.0;55.0;24,2;9.5;16270;55,1;
14/10/2023;73.8;21.2;55.2;24,4;9.5;1633;55,0;
15/10/2023;73.6;21.2;55.0;24,3;9.5;1628;55,0;1
16/10/2023;74.1;21.0;55.7;24,5;9.5;1649;55,2;
17/10/2023;73.1;21.0;54.8;24,1;9.5;1619;55,0;